,Language,Query,GitHubUrl,Relevance,Notes
3343,Python,aes encryption,https://github.com/raymontag/kppy/blob/a43f1fff7d49da1da4b3d8628a1b3ebbaf47f43a/kppy/database.py#L861-L871,3.0,
3506,Python,aes encryption,https://github.com/raymontag/kppy/blob/a43f1fff7d49da1da4b3d8628a1b3ebbaf47f43a/kppy/database.py#L861-L871,2.0,
3507,Python,aes encryption,https://github.com/raymontag/kppy/blob/a43f1fff7d49da1da4b3d8628a1b3ebbaf47f43a/kppy/database.py#L861-L871,2.0,"Don't ever use CBC mode (Bleichenbacher, etc.)"
3508,Python,aes encryption,https://github.com/raymontag/kppy/blob/a43f1fff7d49da1da4b3d8628a1b3ebbaf47f43a/kppy/database.py#L861-L871,3.0,
3509,Python,aes encryption,https://github.com/raymontag/kppy/blob/a43f1fff7d49da1da4b3d8628a1b3ebbaf47f43a/kppy/database.py#L861-L871,3.0,
4135,Python,converting uint8 array to image,https://github.com/quintusdias/glymur/blob/8b8fb091130fff00f1028dc82219e69e3f9baf6d/glymur/jp2k.py#L660-L667,1.0,
4136,Python,converting uint8 array to image,https://github.com/quintusdias/glymur/blob/8b8fb091130fff00f1028dc82219e69e3f9baf6d/glymur/jp2k.py#L660-L667,0.0,
4189,Java,memoize to disk  - persistent memoization,https://github.com/apache/groovy/blob/71cf20addb611bb8d097a59e395fd20bc7f31772/src/main/groovy/groovy/lang/Closure.java#L737-L741,0.0,
4299,Python,sending binary data over a serial connection,https://github.com/securestate/termineter/blob/d657d25d97c7739e650b951c396404e857e56625/lib/c1218/connection.py#L210-L222,2.0,
4300,Python,sending binary data over a serial connection,https://github.com/securestate/termineter/blob/d657d25d97c7739e650b951c396404e857e56625/lib/c1218/connection.py#L210-L222,1.0,
4387,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,2.0,
4388,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,2.0,
4389,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,2.0,
4682,Python,fuzzy match ranking,https://github.com/toejough/pimento/blob/cdb00a93976733aa5521f8504152cedeedfc711a/pimento/__init__.py#L298-L311,2.0,
4683,Python,fuzzy match ranking,https://github.com/toejough/pimento/blob/cdb00a93976733aa5521f8504152cedeedfc711a/pimento/__init__.py#L298-L311,1.0,
4684,Python,fuzzy match ranking,https://github.com/toejough/pimento/blob/cdb00a93976733aa5521f8504152cedeedfc711a/pimento/__init__.py#L298-L311,1.0,
4744,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,2.0,
4745,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,2.0,
4746,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,2.0,
